timestamp_ms,router_name,interface_name,dir,type,val
16027,s2,eth2,tx,pkts,9119
16027,s2,eth2,tx,bytes,385841426
16027,s2,eth2,tx,drop,0
16027,s2,eth2,tx,errs,0
16913,s1,lo,rx,pkts,0
16913,s1,lo,rx,bytes,0
16913,s1,lo,rx,drop,35
16913,s1,lo,rx,errs,0
16913,s1,lo,tx,pkts,0
16913,s1,lo,tx,bytes,0
16913,s1,lo,tx,drop,0
16913,s1,lo,tx,errs,0
16913,s1,eth1,rx,pkts,9550
16913,s1,eth1,rx,bytes,409197172
16913,s1,eth1,rx,drop,0
16913,s1,eth1,rx,errs,0
16913,s1,eth1,tx,pkts,3822
16913,s1,eth1,tx,bytes,256578
16913,s1,eth1,tx,drop,0
16913,s1,eth1,tx,errs,0
16913,s1,eth2,rx,pkts,3802
16913,s1,eth2,rx,bytes,253363
16913,s1,eth2,rx,drop,0
16913,s1,eth2,rx,errs,0
16913,s1,eth2,tx,pkts,9617
16913,s1,eth2,tx,bytes,409203489
16913,s1,eth2,tx,drop,0
16913,s1,eth2,tx,errs,0
19044,s2,lo,rx,pkts,0
19044,s2,lo,rx,bytes,0
19044,s2,lo,rx,drop,35
19044,s2,lo,rx,errs,0
19044,s2,lo,tx,pkts,0
19044,s2,lo,tx,bytes,0
19044,s2,lo,tx,drop,0
19044,s2,lo,tx,errs,0
19044,s2,eth1,rx,pkts,10895
19044,s2,eth1,rx,bytes,465124509
19044,s2,eth1,rx,drop,0
19044,s2,eth1,rx,errs,0
19044,s2,eth1,tx,pkts,4235
19044,s2,eth1,tx,bytes,281941
19044,s2,eth1,tx,drop,0
19044,s2,eth1,tx,errs,0
19044,s2,eth2,rx,pkts,4215
19044,s2,eth2,rx,bytes,278726
19044,s2,eth2,rx,drop,0
19044,s2,eth2,rx,errs,0
19044,s2,eth2,tx,pkts,10933
19044,s2,eth2,tx,bytes,465128912
19044,s2,eth2,tx,drop,0
19044,s2,eth2,tx,errs,0
19930,s1,lo,rx,pkts,0
19930,s1,lo,rx,bytes,0
19930,s1,lo,rx,drop,35
19930,s1,lo,rx,errs,0
19930,s1,lo,tx,pkts,0
19930,s1,lo,tx,bytes,0
19930,s1,lo,tx,drop,0
19930,s1,lo,tx,errs,0
19930,s1,eth1,rx,pkts,11359
19930,s1,eth1,rx,bytes,488352982
19930,s1,eth1,rx,drop,0
19930,s1,eth1,rx,errs,0
19930,s1,eth1,tx,pkts,4442
19930,s1,eth1,tx,bytes,297498
19930,s1,eth1,tx,drop,0
19930,s1,eth1,tx,errs,0
19930,s1,eth2,rx,pkts,4422
19930,s1,eth2,rx,bytes,294283
19930,s1,eth2,rx,drop,0
19930,s1,eth2,rx,errs,0
19930,s1,eth2,tx,pkts,11426
19930,s1,eth2,tx,bytes,488359299
19930,s1,eth2,tx,drop,0
19930,s1,eth2,tx,errs,0
22062,s2,lo,rx,pkts,0
22062,s2,lo,rx,bytes,0
22062,s2,lo,rx,drop,35
22062,s2,lo,rx,errs,0
22062,s2,lo,tx,pkts,0
22062,s2,lo,tx,bytes,0
22062,s2,lo,tx,drop,0
22062,s2,lo,tx,errs,0
22062,s2,eth1,rx,pkts,12658
22062,s2,eth1,rx,bytes,541393767
22062,s2,eth1,rx,drop,0
22062,s2,eth1,rx,errs,0
22062,s2,eth1,tx,pkts,4891
22062,s2,eth1,tx,bytes,325285
22062,s2,eth1,tx,drop,0
22062,s2,eth1,tx,errs,0
22062,s2,eth2,rx,pkts,4871
22062,s2,eth2,rx,bytes,322070
22062,s2,eth2,rx,drop,0
22062,s2,eth2,rx,errs,0
22062,s2,eth2,tx,pkts,12704
22062,s2,eth2,tx,bytes,541398698
22062,s2,eth2,tx,drop,0
22062,s2,eth2,tx,errs,0
22947,s1,lo,rx,pkts,0
22947,s1,lo,rx,bytes,0
22947,s1,lo,rx,drop,35
22947,s1,lo,rx,errs,0
22947,s1,lo,tx,pkts,0
22947,s1,lo,tx,bytes,0
22947,s1,lo,tx,drop,0
22947,s1,lo,tx,errs,0
22947,s1,eth1,rx,pkts,13098
22947,s1,eth1,rx,bytes,563572080
22947,s1,eth1,rx,drop,0
22947,s1,eth1,rx,errs,0
22947,s1,eth1,tx,pkts,5083
22947,s1,eth1,tx,bytes,339852
22947,s1,eth1,tx,drop,0
22947,s1,eth1,tx,errs,0
22947,s1,eth2,rx,pkts,5063
22947,s1,eth2,rx,bytes,336637
22947,s1,eth2,rx,drop,0
22947,s1,eth2,rx,errs,0
22947,s1,eth2,tx,pkts,13165
22947,s1,eth2,tx,bytes,563578397
22947,s1,eth2,tx,drop,0
22947,s1,eth2,tx,errs,0
25079,s2,lo,rx,pkts,0
25079,s2,lo,rx,bytes,0
25079,s2,lo,rx,drop,35
25079,s2,lo,rx,errs,0
25079,s2,lo,tx,pkts,0
25079,s2,lo,tx,bytes,0
25079,s2,lo,tx,drop,0
25079,s2,lo,tx,errs,0
25079,s2,eth1,rx,pkts,14386
25079,s2,eth1,rx,bytes,617005287
25079,s2,eth1,rx,drop,0
25079,s2,eth1,rx,errs,0
25079,s2,eth1,tx,pkts,5482
25079,s2,eth1,tx,bytes,364291
25079,s2,eth1,tx,drop,0
25079,s2,eth1,tx,errs,0
25079,s2,eth2,rx,pkts,5462
25079,s2,eth2,rx,bytes,361076
25079,s2,eth2,rx,drop,0
25079,s2,eth2,rx,errs,0
25079,s2,eth2,tx,pkts,14432
25079,s2,eth2,tx,bytes,617010218
25079,s2,eth2,tx,drop,0
25079,s2,eth2,tx,errs,0
25961,s1,lo,rx,pkts,0
25961,s1,lo,rx,bytes,0
25961,s1,lo,rx,drop,35
25961,s1,lo,rx,errs,0
25961,s1,lo,tx,pkts,0
25961,s1,lo,tx,bytes,0
25961,s1,lo,tx,drop,0
25961,s1,lo,tx,errs,0
25961,s1,eth1,rx,pkts,14826
25961,s1,eth1,rx,bytes,639183600
25961,s1,eth1,rx,drop,0
25961,s1,eth1,rx,errs,0
25961,s1,eth1,tx,pkts,5676
25961,s1,eth1,tx,bytes,378990
25961,s1,eth1,tx,drop,0
25961,s1,eth1,tx,errs,0
25961,s1,eth2,rx,pkts,5656
25961,s1,eth2,rx,bytes,375775
25961,s1,eth2,rx,drop,0
25961,s1,eth2,rx,errs,0
25961,s1,eth2,tx,pkts,14893
25961,s1,eth2,tx,bytes,639189917
25961,s1,eth2,tx,drop,0
25961,s1,eth2,tx,errs,0
28094,s2,lo,rx,pkts,0
28094,s2,lo,rx,bytes,0
28094,s2,lo,rx,drop,35
28094,s2,lo,rx,errs,0
28094,s2,lo,tx,pkts,0
28094,s2,lo,tx,bytes,0
28094,s2,lo,tx,drop,0
28094,s2,lo,tx,errs,0
28094,s2,eth1,rx,pkts,16114
28094,s2,eth1,rx,bytes,692616807
28094,s2,eth1,rx,drop,0
28094,s2,eth1,rx,errs,0
28094,s2,eth1,tx,pkts,6070
28094,s2,eth1,tx,bytes,403099
28094,s2,eth1,tx,drop,0
28094,s2,eth1,tx,errs,0
28094,s2,eth2,rx,pkts,6050
28094,s2,eth2,rx,bytes,399884
28094,s2,eth2,rx,drop,0
28094,s2,eth2,rx,errs,0
28094,s2,eth2,tx,pkts,16160
28094,s2,eth2,tx,bytes,692621738
28094,s2,eth2,tx,drop,0
28094,s2,eth2,tx,errs,0
28983,s1,lo,rx,pkts,0
28983,s1,lo,rx,bytes,0
28983,s1,lo,rx,drop,35
28983,s1,lo,rx,errs,0
28983,s1,lo,tx,pkts,0
28983,s1,lo,tx,bytes,0
28983,s1,lo,tx,drop,0
28983,s1,lo,tx,errs,0
28983,s1,eth1,rx,pkts,16554
28983,s1,eth1,rx,bytes,714795120
28983,s1,eth1,rx,drop,0
28983,s1,eth1,rx,errs,0
28983,s1,eth1,tx,pkts,6261
28983,s1,eth1,tx,bytes,417600
28983,s1,eth1,tx,drop,0
28983,s1,eth1,tx,errs,0
28983,s1,eth2,rx,pkts,6241
28983,s1,eth2,rx,bytes,414385
28983,s1,eth2,rx,drop,0
28983,s1,eth2,rx,errs,0
28983,s1,eth2,tx,pkts,16621
28983,s1,eth2,tx,bytes,714801437
28983,s1,eth2,tx,drop,0
28983,s1,eth2,tx,errs,0
31111,s2,lo,rx,pkts,0
31111,s2,lo,rx,bytes,0
31111,s2,lo,rx,drop,36
31111,s2,lo,rx,errs,0
31111,s2,lo,tx,pkts,0
31111,s2,lo,tx,bytes,0
31111,s2,lo,tx,drop,0
31111,s2,lo,tx,errs,0
31111,s2,eth1,rx,pkts,17502
31111,s2,eth1,rx,bytes,751866843
31111,s2,eth1,rx,drop,0
31111,s2,eth1,rx,errs,0
31111,s2,eth1,tx,pkts,6611
31111,s2,eth1,tx,bytes,439337
31111,s2,eth1,tx,drop,0
31111,s2,eth1,tx,errs,0
31111,s2,eth2,rx,pkts,6591
31111,s2,eth2,rx,bytes,436122
31111,s2,eth2,rx,drop,0
31111,s2,eth2,rx,errs,0
